product_id,product_name,category,price,stock
1,Alpha Widget,Electronics,49.99,120
2,Beta Gadget,Home,19.95,85
3,Omega Mixer,Kitchen,89.50,40
4,Delta Lamp,Home,29.99,60
5,Pixel Phone,Electronics,699.00,25
6,Smart Kettle,Kitchen,39.99,55
7,Urban Backpack,Accessories,59.95,70
8,Classic Watch,Accessories,120.00,30
9,Comfy Pillow,Home,15.99,150
10,Speed Blender,Kitchen,59.99,35
11,Noise Cancelling Headphones,Electronics,199.99,18
12,Travel Mug,Kitchen,12.50,100
13,Wireless Mouse,Electronics,24.99,80
14,Desk Organizer,Home,17.99,90
15,Running Shoes,Apparel,89.99,45
16,Leather Wallet,Accessories,39.95,60
17,LED Bulb,Home,4.99,200
18,Smart Watch,Electronics,149.99,22
19,Espresso Machine,Kitchen,249.00,12
20,Graphic T-Shirt,Apparel,19.99,75
21,Portable Charger,Electronics,29.99,50
22,Chef Knife,Kitchen,34.99,40
23,Throw Blanket,Home,24.99,65
24,Wireless Earbuds,Electronics,79.99,33
25,Stainless Steel Bottle,Kitchen,18.99,90
26,Canvas Tote,Accessories,14.99,80
27,Desk Lamp,Home,22.99,55
28,Men's Belt,Apparel,25.99,60
29,Hair Dryer,Electronics,39.99,28
30,Salad Spinner,Kitchen,21.99,35
31,Wall Clock,Home,27.50,45
32,Women's Scarf,Apparel,29.99,50
33,Digital Camera,Electronics,299.00,10
34,Measuring Cups,Kitchen,9.99,100
35,Photo Frame,Home,12.99,85
36,Men's Socks,Apparel,9.99,120
37,Travel Umbrella,Accessories,17.99,70
38,Electric Toothbrush,Electronics,59.99,25
39,Nonstick Pan,Kitchen,27.99,40
40,Table Runner,Home,16.99,60
41,Women's Handbag,Accessories,89.99,25
42,Men's Jacket,Apparel,119.99,18
43,Smart Speaker,Electronics,99.99,20
44,Toaster Oven,Kitchen,69.99,15
45,Area Rug,Home,79.99,22
46,Women's Sunglasses,Accessories,49.99,35
47,Men's Tie,Apparel,14.99,65
48,Electric Kettle,Kitchen,29.99,50
49,Floor Lamp,Home,59.99,30
50,Wireless Keyboard,Electronics,45.99,40